epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,915.097,3.30649,4.81748,2.54855,0.00024,0.0303,0.00014,4e-05,3.43232,4.48133,2.83165,0.000481144,0.000481144,0.000481144
136,920.69,3.28435,4.77857,2.59074,0.00024,0.0303,0.00014,4e-05,3.58991,4.49589,2.90518,0.000474071,0.000474071,0.000474071
137,927.058,3.3184,4.69666,2.56898,0.00045,0.0303,0.00028,5e-05,3.57531,4.44047,2.9004,0.000466997,0.000466997,0.000466997
138,934.153,3.22874,4.51929,2.47328,0.00041,0.04545,0.00039,0.00014,3.48486,4.43659,2.84248,0.000459924,0.000459924,0.000459924
139,941.131,3.19144,4.80503,2.55983,0.0003,0.0303,0.00025,0.0001,3.45216,4.50446,2.8285,0.00045285,0.00045285,0.00045285
140,948.218,3.30088,4.802,2.47971,0.00047,0.04545,0.00032,6e-05,3.42279,4.49911,2.80029,0.000445777,0.000445777,0.000445777
141,955.348,3.3652,4.73002,2.58761,0.00095,0.05114,0.00063,0.00023,3.38802,4.5009,2.76778,0.000438703,0.000438703,0.000438703
142,961.822,3.16826,4.6914,2.54338,0.00098,0.05114,0.00067,0.00028,3.42162,4.46892,2.82292,0.000431629,0.000431629,0.000431629
143,967.41,3.2847,4.76241,2.50098,0.00138,0.06629,0.00102,0.00028,3.50405,4.40942,2.8154,0.000424556,0.000424556,0.000424556
144,974.611,3.33807,4.6829,2.5832,0.00139,0.08144,0.00096,0.00031,3.47687,4.49358,2.81873,0.000417482,0.000417482,0.000417482
145,982.025,3.23292,4.60138,2.52594,0.00107,0.08144,0.00079,0.00021,3.43501,4.50299,2.76205,0.000410409,0.000410409,0.000410409
146,989.234,3.25107,4.76595,2.56426,0.00083,0.08144,0.00063,0.00014,3.39446,4.44443,2.7549,0.000403335,0.000403335,0.000403335
147,996.435,3.11717,4.753,2.49058,0.00089,0.07197,0.00063,0.00018,3.40269,4.43849,2.7467,0.000396262,0.000396262,0.000396262
148,1002.24,3.25195,4.70772,2.57448,0.00093,0.05114,0.00062,0.00017,3.71646,4.61793,3.43171,0.000389188,0.000389188,0.000389188
149,1007.35,3.17962,4.75759,2.47584,0.00028,0.01515,0.00015,3e-05,3.80135,4.56734,3.53928,0.000382115,0.000382115,0.000382115
150,1014.68,3.17341,4.55141,2.40846,0.00023,0.04545,0.00015,4e-05,3.41232,4.83823,2.6782,0.000375041,0.000375041,0.000375041
151,1022.06,3.23415,4.60151,2.45466,0.00031,0.06061,0.00079,0.00012,3.47996,4.44723,2.78674,0.000367967,0.000367967,0.000367967
152,1029.42,3.27243,4.64532,2.58037,0.00031,0.06061,0.00223,0.00024,3.40414,4.21978,2.78069,0.000360894,0.000360894,0.000360894
153,1036.64,3.28828,4.73842,2.59674,0.00053,0.07576,0.00354,0.0007,3.32196,4.21864,2.78743,0.00035382,0.00035382,0.00035382
154,1042.75,3.33097,4.65995,2.55541,0.00027,0.0303,0.00148,0.00036,3.37669,4.27602,2.82142,0.000346747,0.000346747,0.000346747
155,1047.82,3.17693,4.723,2.4887,0.00031,0.0303,0.00074,0.00023,3.37882,4.29596,2.78252,0.000339673,0.000339673,0.000339673
156,1054.84,3.41121,4.80496,2.59497,0.0003,0.04545,0.00032,0.0001,3.29803,4.31058,2.73726,0.0003326,0.0003326,0.0003326
157,1062,3.25777,4.65132,2.47797,0.00075,0.06629,0.00051,0.0001,3.2555,4.36187,2.72673,0.000325526,0.000325526,0.000325526
